reserve,round,date,lizard_num,count,lifestage
Santa Cruz Island,5,6/12/21,3,2,nymphal
Santa Cruz Island,5,6/12/21,4,0,larval
Santa Cruz Island,5,6/12/21,4,1,nymphal
Santa Cruz Island,5,6/12/21,5,1,larval
Santa Cruz Island,5,6/12/21,5,0,nymphal
Santa Cruz Island,5,6/12/21,6,0,larval
Santa Cruz Island,5,6/12/21,6,0,nymphal
Santa Cruz Island,5,6/12/21,7,0,larval
Santa Cruz Island,5,6/12/21,7,0,nymphal
Santa Cruz Island,5,6/12/21,8,0,larval
Santa Cruz Island,5,6/12/21,8,0,nymphal
Santa Cruz Island,5,6/12/21,9,0,larval
Santa Cruz Island,5,6/12/21,9,0,nymphal
